gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624706,7,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,0,1,2
624707,1,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Ethan Skender,2,SB,1,2,1
624707,6,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,1,1,1
624707,6,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Alan Alonso,2,SB,2,0,1
624707,7,top,Staten Island Ferry Hawks,Gastonia Ghost Peppers,Kolby Johnson,2,SB,2,1,3
624707,7,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,1,0,1
624707,8,bottom,Gastonia Ghost Peppers,Staten Island Ferry Hawks,Justin Wylie,2,SB,3,2,3
624708,5,top,Lexington Legends,Gastonia Ghost Peppers,Ryan McCarthy,2,SB,1,2,2
624708,6,top,Lexington Legends,Gastonia Ghost Peppers,Xane Washington,2,SB,2,0,3
624708,7,top,Lexington Legends,Gastonia Ghost Peppers,Andy Atwood,2,SB,2,0,2
624708,7,bottom,Gastonia Ghost Peppers,Lexington Legends,Eric De La Rosa,2,SB,0,1,2
624708,9,top,Lexington Legends,Gastonia Ghost Peppers,Paul Winland,2,SB,1,0,3
624708,9,bottom,Gastonia Ghost Peppers,Lexington Legends,Kevin Watson Jr.,2,SB,1,0,0
624708,10,top,Lexington Legends,Gastonia Ghost Peppers,Xane Washington,2,SB,0,1,2
624708,10,bottom,Gastonia Ghost Peppers,Lexington Legends,Dalton Guthrie,2,SB,1,0,2
624708,10,bottom,Gastonia Ghost Peppers,Lexington Legends,Justin Wylie,3,SB,1,0,2
624709,2,top,Lexington Legends,Gastonia Ghost Peppers,Isaias Quiroz,2,CS,1,0,2
624710,2,bottom,Gastonia Ghost Peppers,Lexington Legends,Kevin Watson Jr.,2,SB,1,0,2
624710,3,bottom,Gastonia Ghost Peppers,Lexington Legends,Carter Aldrete,2,CS,3,2,2
624710,6,top,Lexington Legends,Gastonia Ghost Peppers,Garret Pike,2,SB,1,0,1
624710,6,top,Lexington Legends,Gastonia Ghost Peppers,Curtis Terry,2,SB,0,1,2
624710,6,top,Lexington Legends,Gastonia Ghost Peppers,Brady Whalen,3,SB,0,1,2
624710,8,bottom,Gastonia Ghost Peppers,Lexington Legends,Kevin Watson Jr.,2,SB,1,1,2
631460,5,bottom,York Revolution,High Point Rockers,Jalen Miller,2,SB,1,2,2
631481,1,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Alsander Womack,2,SB,1,2,2
631481,4,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Zach Daniels,2,SB,0,1,0
631481,4,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Alan Alonso,2,CS,0,1,1
631481,6,bottom,Charleston Dirty Birds,Southern Maryland Blue Crabs,Zach Daniels,2,CS,1,1,1
