#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
7.0,May  97:04 PM,Staten Island,Lexington,1-11,"Eastman, C","Mejia, A",final|,8,7,0.012,0.0262
7.0,May  96:37 PM,Charleston,S Maryland,6-7,"Sherfy, J","Demurias, E",final|,7,7,0.0,
7.0,May  75:05 PM,Hagerstown,York,2-4,"Denoyer, N","Richardson, D",final|,7,7,0.0,0.4448
7.0,May  97:04 PM,High Point,Gastonia,9-10,"Myatt, T","Lewis, J",final|,7,7,0.9734,0.0004
8.0,May 176:52 PM,Long Island,Lancaster,2-5,"Brennan, T","Hillman, J",final|,8,7,0.5244,0.0188
8.0,May 176:37 PM,Lexington,High Point,0-17,"Solter, M","Castillo, W",final|,8,8,0.0262,0.9734
8.0,May 171:03 PM,Gastonia,Staten Island,3-4,"Allegretti, C","Myatt, T",final|,8,8,0.0004,0.012
8.0,May  43:37 PM,Lexington,High Point,0-5,"Emanuel, K","Eastman, C",final|,9,9,0.0262,0.9734
8.0,May  78:01 PM,Hagerstown,York,3-2,"Kelly, R","Dula, H",final|,8,8,0.0,0.4448
8.0,May 142:20 PM,Lancaster,Hagerstown,2-3,"Maruskin, J","Rees, J",final|,8,7,0.0188,0.0
8.0,May 146:41 PM,Staten Island,Charleston,5-7,"Hill, J","Mahoney, J",final|,9,8,0.012,0.0
8.0,May 106:35 PM,Lancaster,Long Island,0-1,"Plesac, Z","Killgore, K",final|,9,8,0.0188,0.5244
8.0,May 106:39 PM,Charleston,S Maryland,7-2,"Sampson, K","Hennessey, J",final|,8,8,0.0,
8.0,May 107:00 PM,Staten Island,Lexington,2-3,"Haab, J","Meeker, J",final|,10,8,0.012,0.0262
8.0,May 107:18 PM,High Point,Gastonia,4-2,"Backman, B","Kruglewicz, P",final|,8,8,0.9734,0.0004
9.0,May  811:03 AM,Hagerstown,York,7-11,"Pace, F","Kickham, M",final|,9,9,0.0,0.4448
9.0,May 181:37 PM,Gastonia,Staten Island,7-8,"Andrews, T","Horvath, N",final|,9,9,0.0004,0.012
9.0,May 111:34 PM,Lancaster,Long Island,2-3,"Melville, T","Gilliam, R",final|,10,9,0.0188,0.5244
9.0,May 112:03 PM,Staten Island,Lexington,1-7,"Castillo, W","Williamson, R",final|,11,9,0.012,0.0262
9.0,May 114:03 PM,High Point,Gastonia,5-4,"Edwards, J","Blanton, B",final|,9,9,0.9734,0.0004
